"事务别名","名称","平均响应时间(ms)","总耗时(ms)","耗时百分比(%)","请求数","吞吐率(tps)","错误率(%)","错误数","慢次数","应用"
"SpringController/${url.bpm.user.senopInfo}","SpringController/${url.bpm.user.senopInfo}","58266.0","58266","0.24083205","1","5.787037E-6","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.bpm.user.senopInfo}","SpringController/${url.bpm.user.senopInfo}","51960.0","51960","0.21476732","1","5.787037E-6","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/operations/uploadContractFile (POST)","SpringController/serverapi/v1/operations/uploadContractFile (POST)","14993.25","59973","0.24788763","4","2.3148148E-5","0.0","0","3","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.copyContractInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.copyContractInfo.dwr","14251.667","42755","0.17672011","3","1.7361112E-5","0.0","0","3","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/user/arcic/v1/download","SpringController/user/arcic/v1/download","13561.2","67806","0.28026393","5","2.8935185E-5","40.0","2","2","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/archive/acquire/complete/contractInfo (POST)","SpringController/serverapi/archive/acquire/complete/contractInfo (POST)","10582.333","31747","0.13122052","3","1.7361112E-5","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.copyContractInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.copyContractInfo.dwr","10150.0","40600","0.16781281","4","2.3148148E-5","0.0","0","2","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.updateContractInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.updateContractInfo.dwr","8563.154","111321","0.46012536","13","7.523148E-5","0.0","0","8","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.updateContractInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.updateContractInfo.dwr","7882.15","157643","0.65158904","20","1.1574074E-4","0.0","0","20","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.upload} (POST)","SpringController/${url.attachment}/${url.attachment.upload} (POST)","4559.6543","1345098","5.5597205","295","0.001707176","0.0","0","94","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.upload} (POST)","SpringController/${url.attachment}/${url.attachment.upload} (POST)","3949.1448","572626","2.3668468","145","8.3912036E-4","0.0","0","50","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.frmIndiDocs}","SpringController/${url.attachment}/${url.attachment.frmIndiDocs}","3628.993","508059","2.0999706","140","8.1018516E-4","0.0","0","58","fawuorg.springframework.boot.loader.WarLauncher"
