"事务名称","应用名称","Apdex","响应时间中位数(ms)","响应时间 P75 (ms)","响应时间 P95 (ms)","响应时间 P99 (ms)","平均请求时间","吞吐率 (/s)","请求数","错误率(%)","错误次数","慢次数","异常次数","请求类型"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.queryCreditLimitInfo.dwr","org.springframework.boot.loader.WarLauncher","0.5","999.0","999.0","999.0","999.0","999.00","< 0.01","1","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.getContractAmountStatistic.dwr","fawuorg.springframework.boot.loader.WarLauncher","0.5","986.6959400177002","988.8479700088501","990.5695937281253","990.9139188824474","986.67","< 0.01","3","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getgeneralContractList.dwr","org.springframework.boot.loader.WarLauncher","0.5","985.2612533569336","1059.1306266784668","1118.2261218133272","1130.0452278850316","990.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getTypeContractList.dwr","org.springframework.boot.loader.WarLauncher","0.5","985.2612533569336","1018.1306266784668","1044.4261237683595","1049.6852263210058","919.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getPerformContractCount.dwr","org.springframework.boot.loader.WarLauncher","0.5","985.2612533569336","1166.1306266784668","1310.8261167111696","1339.7652319667577","1082.00","< 0.01","2","0.00","0","0","2","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getContractTotalCount.dwr","org.springframework.boot.loader.WarLauncher","0.5","985.2612533569336","1187.1306266784668","1348.6261157098115","1380.9252327678441","1165.00","< 0.01","2","0.00","0","0","2","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getintervalTimeContractList.dwr","org.springframework.boot.loader.WarLauncher","0.5","985.2612533569336","1045.1306266784668","1093.0261224808992","1102.605227350974","963.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.queryCreditLimitInfo.dwr","fawuorg.springframework.boot.loader.WarLauncher","0.5","979.9459400177002","995.6959400177002","1020.739184023023","1025.7478387948631","989.00","< 0.01","3","0.00","0","0","0","Web请求"
"SpringController/${url.workflow.viewComm}","org.springframework.boot.loader.WarLauncher","0.4583333333333333","952.4192115783692","1601.049536705017","2192.206194757342","2456.3611489476425","1128.71","< 0.01","24","0.00","0","2","24","Web请求"
"URI/grcv5/ajaxLogin","fawuorg.springframework.boot.loader.WarLauncher","1.0","94.5","97.25","99.44999986886978","99.89000010490417","95.50","< 0.01","4","0.00","0","0","0","Web请求"
